Contents,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Table 1,"Top 100 names for baby girls, 2011",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,England and Wales,,,,,,,,,,,
,,Places 1 - 50,,,,,,Places 51 - 100,,,,,,,,,,,,,,
,,,,Change in rank,Change in rank,,,,,Change in rank,Change in rank,,,,,,,,,,,
,Rank,Name,Count, since 2010, since 2001,,Rank,Name,Count, since 2010, since 2001,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,1,AMELIA ,"5,054",+4,+31,,51,AMY ,"1,213",-13,-39,,,,,,,,,,,
,2,OLIVIA ,"4,938",-1,+8,,52,AMBER ,"1,201",-,-16,,,,,,,,,,,
,3,LILY ,"4,761",+1,+32,,53,GRACIE ,"1,162",-2,+218*,,,,,,,,,,,
,4,JESSICA ,"3,984",+2,-,,54,AMELIE ,"1,128",+1,+711*,,,,,,,,,,,
,5,EMILY ,"3,974",-2,-3,,55,ROSIE ,"1,124",+4,+6,,,,,,,,,,,
,6,SOPHIE ,"3,923",-4,-1,,56,LEAH ,"1,120",-6,-25,,,,,,,,,,,
,7,RUBY ,"3,702",-,+60,,57,KATIE ,"1,105",-17,-44,,,,,,,,,,,
,8,GRACE ,"3,691",+1,+15,,58,MAYA ,"1,072",-1,+49*,,,,,,,,,,,
,9,AVA ,"3,621",+2,+196*,,59,ELEANOR ,"1,049",+2,-32,,,,,,,,,,,
,10,ISABELLA ,"3,464",+2,+44,,60,GEORGIA ,"1,022",-4,-46,,,,,,,,,,,
,11,EVIE ,"3,385",-1,+81,,61,EMILIA ,"1,007",+10,+112*,,,,,,,,,,,
,12,CHLOE ,"3,347",-4,-11,,62,ELIZA ,955,+31,+161*,,,,,,,,,,,
,13,MIA ,"3,346",-,+12,,63,FAITH ,914,+2,+61*,,,,,,,,,,,
,14,POPPY ,"2,932",+2,+70,,64,BETHANY ,913,-5,-47,,,,,,,,,,,
,15,ISLA ,"2,849",+7,+302*,,65,EVELYN ,871,+22,+181*,,,,,,,,,,,
,16,ELLA ,"2,783",+2,+3,,66,ISABEL ,857,-8,+2,,,,,,,,,,,
