,,,Change in rank,Change in rank,,,,,,,,,,,,,
Rank,Name,Count, since 2010, since 2001,,,,,,,,,,,,,
1,HARRY ,"7,523",+2,+5,,,,,,,,,,,,,
2,OLIVER ,"7,007",-1,+10,,,,,,,,,,,,,
3,JACK ,"6,844",-1,-2,,,,,,,,,,,,,
4,ALFIE ,"5,524",-,+50,,,,,,,,,,,,,
5,CHARLIE ,"5,516",-,+27,,,,,,,,,,,,,
6,THOMAS ,"5,353",-,-4,,,,,,,,,,,,,
7,JACOB ,"5,047",+5,+21,,,,,,,,,,,,,
8,JAMES ,"4,945",+2,-4,,,,,,,,,,,,,
9,JOSHUA ,"4,786",-1,-6,,,,,,,,,,,,,
10,WILLIAM ,"4,632",-3,+3,,,,,,,,,,,,,
11,ETHAN ,"4,581",+2,+10,,,,,,,,,,,,,
12,GEORGE ,"4,347",-3,+5,,,,,,,,,,,,,
13,RILEY ,"4,226",+12,+134*,,,,,,,,,,,,,
14,DANIEL ,"3,928",-3,-9,,,,,,,,,,,,,
15,SAMUEL ,"3,803",-1,-8,,,,,,,,,,,,,
16,NOAH ,"3,287",+2,+117*,,,,,,,,,,,,,
17,OSCAR ,"3,251",+2,+60,,,,,,,,,,,,,
18,JOSEPH ,"3,089",-3,-10,,,,,,,,,,,,,
19,MOHAMMED ,"3,054",-2,+3,,,,,,,,,,,,,
20,MAX ,"3,043",+3,+15,,,,,,,,,,,,,
21,DYLAN ,"2,962",-5,+6,,,,,,,,,,,,,
22,MUHAMMAD ,"2,854",+9,+47,,,,,,,,,,,,,
23,ALEXANDER ,"2,819",-2,-3,,,,,,,,,,,,,
24,ARCHIE ,"2,805",-,+36,,,,,,,,,,,,,
25,BENJAMIN ,"2,789",-3,-11,,,,,,,,,,,,,
26,LUCAS ,"2,716",-7,+52,,,,,,,,,,,,,
27,LEO ,"2,664",+9,+74*,,,,,,,,,,,,,
28,HENRY ,"2,625",+6,+25,,,,,,,,,,,,,
29,JAKE ,"2,619",-,-10,,,,,,,,,,,,,
30,LOGAN ,"2,549",-2,+91*,,,,,,,,,,,,,
